Scenario,Time,P0,P1,P2,P3,P4,P5,P6,P7,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,AX,AY,AZ,QW,QX,QY,QZ,CS,CA,CG,CM
Wait,13:35:03.397,31369,31485,31444,31438,31293,31398,31310,31467,31403,31456,31485,31403,31374,31403,31415,31438,31456,31427,31415,31357,31485,31555,31438,31386,31456,31264,31357,31339,31456,31421,31508,,,,,,,,,,,,,
Wait,13:35:03.497,31357,31386,31444,31398,31357,31345,31421,31403,31363,31415,31415,31357,31374,31374,31287,31415,31456,31258,31339,31351,31444,31368,31374,31374,31421,31351,31386,31357,31456,31444,31322,,,,,,,,,,,,,
Wait,13:35:03.515,31398,31380,31462,31433,31415,31328,31398,31456,31392,31403,31479,31374,31392,31392,31351,31409,31456,31189,31328,31363,31444,31427,31392,31386,31467,31502,31415,31305,31380,31497,31299,,,,,,,,,,,,,
Wait,13:35:03.697,31427,31392,31287,31374,31438,31403,31479,31287,31415,31421,31293,31433,31450,31433,31444,31293,31316,31502,31421,31433,31310,31148,31427,31444,31258,31467,31462,31450,31467,31374,31398,,,,,,,,,,,,,
Wait,13:35:03.712,31386,31386,31497,31398,31374,31421,31270,31520,31421,31403,31462,31421,31363,31415,31322,31502,31491,31374,31398,31310,31438,31450,31421,31369,31508,31345,31363,31334,31357,31467,31351,,,,,,,,,,,,,
Wait,13:35:03.897,31345,31374,31334,31409,31421,31345,31334,31450,31403,31328,31398,31368,31363,31363,31339,31438,31450,31223,31403,31380,31415,31363,31380,31345,31514,31438,31415,31415,31467,31368,31368,,,,,,,,,,,,,
Wait,13:35:03.913,31386,31398,31450,31415,31351,31398,31473,31444,31374,31392,31409,31444,31328,31409,31229,31462,31433,31293,31392,31345,31450,31433,31467,31374,31409,31427,31409,31328,31380,31421,31438,,,,,,,,,,,,,
Wait,13:35:04.097,31351,31380,31374,31415,31403,31374,31281,31432,31403,31438,31427,31450,31363,31328,31392,31450,31409,31427,31398,31328,31421,31368,31345,31351,31462,31223,31386,31310,31456,31444,31369,,,,,,,,,,,,,
Wait,13:35:04.197,31438,31374,31386,31421,31409,31374,31241,31444,31456,31374,31491,31392,31334,31444,31374,31427,31409,31334,31334,31403,31479,31462,31438,31398,31427,31270,31409,31398,31438,31467,31462,,,,,,,,,,,,,
Wait,13:35:04.297,31403,31415,31415,31380,31322,31339,31456,31456,31374,31392,31432,31421,31363,31339,31374,31403,31450,31369,31398,31374,31421,31479,31386,31403,31409,31287,31374,31427,31438,31438,31322,,,,,,,,,,,,,
Wait,13:35:04.396,31403,31485,31357,31473,31409,31328,31357,31462,31421,31438,31479,31421,31369,31438,31409,31473,31462,31473,31380,31363,31473,31444,31415,31409,31444,31403,31427,31415,31491,31427,31473,,,,,,,,,,,,,
Wait,13:35:04.497,31374,31357,31415,31398,31328,31374,31299,31462,31380,31363,31450,31403,31392,31357,31398,31456,31403,31450,31351,31357,31398,31386,31386,31392,31438,31403,31392,31322,31392,31368,31305,,,,,,,,,,,,,
Wait,13:35:04.597,31322,31427,31380,31433,31368,31403,31212,31392,31374,31368,31467,31450,31374,31415,31409,31485,31497,31438,31363,31363,31462,31479,31450,31392,31421,31247,31403,31351,31427,31403,31392,,,,,,,,,,,,,
Wait,13:35:04.697,31392,31421,31432,31479,31363,31409,31241,31462,31438,31398,31479,31456,31374,31368,31415,31497,31450,31427,31398,31351,31526,31497,31368,31450,31450,31206,31421,31328,31508,31438,31433,,,,,,,,,,,,,
Wait,13:35:04.797,31380,31421,31450,31386,31328,31392,31223,31450,31363,31409,31380,31363,31322,31386,31409,31392,31427,31334,31380,31363,31433,31398,31415,31392,31485,31334,31386,31305,31398,31462,31403,,,,,,,,,,,,,
Wait,13:35:04.897,31421,31403,31386,31444,31305,31415,31241,31444,31386,31456,31438,31432,31386,31363,31334,31456,31427,31258,31357,31334,31450,31421,31415,31421,31502,31363,31322,31398,31438,31450,31427,,,,,,,,,,,,,
Wait,13:35:04.910,31380,31409,31444,31444,31299,31380,31374,31403,31450,31386,31462,31432,31392,31351,31281,31462,31433,31403,31415,31351,31462,31456,31427,31444,31345,31328,31392,31293,31444,31403,31374,,,,,,,,,,,,,
Wait,13:35:05.097,31368,31403,31415,31421,31252,31357,31270,31421,31398,31386,31403,31398,31339,31368,31427,31438,31421,31421,31363,31351,31450,31427,31409,31421,31427,31206,31339,31299,31363,31363,31398,,,,,,,,,,,,,
Wait,13:35:05.197,31351,31444,31328,31473,31299,31299,31369,31369,31398,31392,31438,31438,31345,31421,31374,31409,31380,31310,31398,31351,31473,31444,31403,31456,31450,31345,31357,31281,31444,31421,31403,,,,,,,,,,,,,
Wait,13:35:05.297,31363,31363,31403,31398,31334,31392,31421,31479,31421,31415,31444,31403,31363,31409,31433,31444,31514,31212,31351,31339,31473,31456,31438,31392,31392,31473,31409,31322,31450,31403,31398,,,,,,,,,,,,,
Wait,13:35:05.312,31386,31386,31485,31438,31305,31363,31467,31491,31403,31427,31444,31456,31328,31334,31247,31462,31479,31334,31433,31363,31450,31386,31450,31374,31421,31374,31398,31339,31467,31479,31479,,,,,,,,,,,,,
Wait,13:35:05.497,31345,31386,31444,31508,31368,31392,31282,31450,31363,31357,31444,31467,31392,31363,31415,31386,31427,31473,31369,31392,31450,31438,31415,31462,31438,31403,31316,31380,31456,31403,31444,,,,,,,,,,,,,
Wait,13:35:05.597,31403,31415,31427,31462,31339,31357,31258,31438,31438,31386,31450,31508,31363,31386,31427,31427,31403,31392,31421,31351,31433,31502,31386,31345,31415,31223,31433,31357,31479,31502,31392,,,,,,,,,,,,,
Wait,13:35:05.611,31368,31415,31450,31380,31363,31392,31386,31409,31409,31409,31432,31368,31351,31380,31311,31467,31485,31177,31427,31328,31508,31462,31427,31462,31491,31456,31398,31357,31450,31456,31334,,,,,,,,,,,,,
Wait,13:35:05.798,31380,31432,31415,31421,31316,31380,31374,31473,31438,31409,31415,31467,31392,31380,31374,31502,31409,31305,31380,31322,31409,31450,31398,31456,31415,31403,31438,31386,31508,31438,31444,,,,,,,,,,,,,
Wait,13:35:05.897,31398,31398,31433,31444,31415,31421,31287,31369,31409,31339,31456,31392,31345,31409,31386,31427,31456,31415,31392,31374,31514,31467,31438,31403,31444,31334,31438,31409,31462,31532,31351,,,,,,,,,,,,,
Wait,13:35:05.913,31403,31403,31467,31462,31345,31380,31229,31497,31421,31368,31403,31421,31322,31369,31438,31508,31450,31415,31339,31316,31485,31456,31398,31456,31450,31177,31386,31345,31421,31421,31363,,,,,,,,,,,,,
Wait,13:35:06.097,31456,31421,31438,31403,31357,31438,31421,31491,31421,31409,31444,31508,31398,31415,31444,31415,31491,31409,31444,31380,31398,31456,31386,31409,31479,31363,31386,31357,31433,31450,31398,,,,,,,,,,,,,
Wait,13:35:06.197,31433,31392,31467,31415,31293,31409,31183,31432,31427,31432,31520,31421,31339,31403,31339,31427,31444,31386,31369,31345,31456,31427,31380,31374,31403,31386,31380,31345,31433,31409,31363,,,,,,,,,,,,,
Wait,13:35:06.297,31409,31351,31467,31479,31363,31421,31479,31514,31444,31403,31520,31409,31403,31398,31305,31438,31409,31462,31450,31380,31456,31479,31456,31415,31432,31450,31368,31415,31462,31421,31287,,,,,,,,,,,,,
Wait,13:35:06.312,31409,31374,31398,31398,31398,31415,31281,31438,31386,31374,31368,31380,31357,31427,31345,31427,31427,31386,31438,31351,31438,31456,31421,31427,31415,31421,31433,31357,31398,31380,31345,,,,,,,,,,,,,
Wait,13:35:06.497,31386,31322,31520,31421,31357,31398,31432,31415,31427,31328,31409,31386,31398,31368,31357,31450,31444,31409,31380,31438,31491,31473,31409,31450,31479,31432,31403,31374,31450,31444,31392,,,,,,,,,,,,,
Wait,13:35:06.598,31363,31368,31374,31409,31328,31386,31374,31485,31392,31368,31456,31374,31339,31357,31142,31450,31392,31235,31374,31339,31438,31432,31398,31403,31427,31444,31473,31345,31409,31427,31351,,,,,,,,,,,,,
Wait,13:35:06.697,31409,31380,31409,31409,31310,31392,31224,31438,31357,31415,31392,31392,31322,31450,31398,31502,31450,31450,31403,31380,31392,31433,31339,31415,31508,31223,31380,31299,31415,31392,31456,,,,,,,,,,,,,
Wait,13:35:06.797,31432,31363,31427,31421,31363,31398,31392,31462,31427,31415,31392,31444,31322,31374,31212,31386,31462,31310,31363,31409,31462,31386,31380,31415,31491,31392,31369,31398,31427,31415,31432,,,,,,,,,,,,,
Wait,13:35:06.897,31368,31392,31386,31485,31415,31392,31282,31421,31322,31363,31374,31403,31398,31409,31427,31421,31433,31386,31409,31462,31479,31427,31432,31392,31462,31212,31450,31345,31351,31357,31380,,,,,,,,,,,,,
Wait,13:35:06.997,31374,31421,31433,31415,31392,31380,31351,31497,31427,31351,31473,31398,31409,31386,31392,31473,31479,31450,31334,31398,31456,31462,31421,31473,31473,31345,31369,31351,31392,31462,31427,,,,,,,,,,,,,
Wait,13:35:07.097,31421,31368,31403,31415,31427,31467,31374,31438,31450,31345,31339,31380,31502,31462,31369,31386,31409,31310,31479,31403,31392,31392,31432,31450,31467,31444,31456,31398,31491,31438,31398,,,,,,,,,,,,,
Wait,13:35:07.197,31415,31368,31403,31374,31398,31374,31444,31363,31409,31374,31444,31403,31415,31369,31201,31398,31427,31316,31374,31386,31409,31485,31392,31444,31403,31334,31351,31386,31421,31409,31386,,,,,,,,,,,,,
Wait,13:35:07.297,31421,31363,31386,31467,31415,31497,31409,31427,31392,31386,31310,31392,31363,31485,31293,31427,31380,31276,31415,31380,31514,31432,31357,31386,31427,31444,31462,31456,31398,31409,31322,,,,,,,,,,,,,
Wait,13:35:07.311,31409,31462,31421,31392,31392,31403,31432,31438,31403,31432,31456,31380,31328,31415,31264,31497,31462,31299,31415,31363,31485,31421,31415,31415,31462,31497,31409,31386,31462,31438,31363,,,,,,,,,,,,,
Wait,13:35:07.496,31427,31363,31299,31462,31456,31351,31462,31380,31392,31398,31299,31444,31415,31456,31351,31485,31438,31281,31432,31415,31415,31357,31392,31421,31357,31398,31444,31479,31432,31299,31380,,,,,,,,,,,,,
Wait,13:35:07.596,31479,31380,31479,31462,31345,31339,31229,31427,31398,31398,31462,31438,31409,31345,31380,31450,31427,31456,31386,31421,31502,31473,31438,31438,31427,31357,31334,31427,31444,31444,31339,,,,,,,,,,,,,
Wait,13:35:07.696,31334,31351,31462,31421,31345,31363,31252,31438,31357,31357,31328,31392,31438,31369,31369,31444,31438,31345,31351,31450,31409,31403,31438,31398,31415,31258,31374,31409,31421,31386,31322,,,,,,,,,,,,,
Wait,13:35:07.711,31409,31398,31485,31497,31345,31409,31305,31467,31450,31421,31450,31444,31351,31351,31467,31450,31491,31415,31403,31345,31485,31467,31322,31409,31514,31235,31363,31368,31409,31427,31421,,,,,,,,,,,,,
Wait,13:35:07.813,31287,31374,31345,31380,31386,31287,31316,31409,31345,31392,31403,31450,31438,31380,31316,31363,31473,31351,31479,31374,31427,31438,31409,31334,31392,31316,31392,31450,31433,31473,31374,,,,,,,,,,,,,
Wait,13:35:07.996,31415,31421,31409,31427,31380,31456,31403,31421,31369,31432,31462,31497,31450,31357,31415,31432,31450,31363,31380,31386,31398,31485,31462,31433,31462,31258,31403,31398,31526,31398,31386,,,,,,,,,,,,,
Wait,13:35:08.016,31497,31357,31398,31409,31427,31432,31282,31427,31450,31351,31432,31403,31398,31368,31392,31415,31450,31450,31374,31403,31403,31497,31380,31409,31502,31415,31421,31450,31497,31491,31322,,,,,,,,,,,,,
Wait,13:35:08.196,31409,31392,31491,31467,31427,31398,31264,31427,31467,31409,31467,31450,31380,31403,31345,31456,31491,31403,31433,31398,31438,31462,31438,31380,31473,31345,31433,31403,31438,31432,31444,,,,,,,,,,,,,
