Time,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,IMU1,IMU2,IMU3,IMU4,PinkyMCPY,PinkyMCPZ,PinkyPIPZ,PinkyDIPZ,RingMCPY,RingMCPZ,RingPIPZ,RingDIPZ,MiddleMCPY,MiddleMCPZ,MiddlePIPZ,MiddleDIPZ,IndexMCPY,IndexMCPZ,IndexPIPZ,IndexDIPZ,ThumbsCMCY,ThumbsCMCZ,ThumbsMCPY,ThumbsMCPZ,ThumbsIPZ,HandX,HandY,HandZ,HandW
2022-05-08 14:57:18.255239-07:00,14:21:50.786144-07:00,352.9360362,310.9194898,340.9262888,416.6390387,360.0012478,366.5647167,398.5537827,402.4798791,338.5546115,329.3632238,305.4862984,325.7242405,388.5877054,334.8010521,370.4894071,360.1058742,355.2191499,356.8206941,374.25417,381.6993309,381.1875978,332.4932066,331.8747871,370.401349,447.6319376,341.9005829,384.6420585,338.1106087,495.880378,-0.313707,-0.614165,-0.450725,-0.248734,-0.323913,-0.551658,-0.191357,0.21534,-0.393022,-0.575415,-0.575415,-0.575415,-0.57989,-0.5155,-0.5155,-0.5155,-0.459222,-0.380621,-0.58008,-0.138618,-0.13875,-0.445528,-0.461405,-0.589566,0.49094
2022-05-08 14:57:18.375280-07:00,14:21:50.846276-07:00,350.8523953,310.1035958,343.4015477,418.075911,358.6814673,367.5097833,401.5982169,404.1453104,336.9269343,330.1157897,305.6678879,324.035425,388.3240001,334.9833991,370.7516545,363.1374079,354.4569866,355.909354,373.3261371,381.4723767,379.5574801,332.0004751,331.7742529,370.5365517,448.8349351,339.1148152,384.5930961,337.0183181,494.0792086,-0.310839,-0.620681,-0.447164,-0.231316,-0.319187,-0.549958,-0.187524,0.220622,-0.386601,-0.573144,-0.573144,-0.573144,-0.579853,-0.517391,-0.517391,-0.517391,-0.457004,-0.386282,-0.577102,-0.137917,-0.134522,-0.444623,-0.460517,-0.591751,0.489965
2022-05-08 14:57:18.376709-07:00,14:21:50.876420-07:00,350.9643046,309.5959945,342.7836371,420.2954116,360.5642267,366.3404037,402.1064971,401.4570254,338.8703637,330.6562793,304.4034928,326.6399013,389.7588578,336.2452441,370.0225057,366.0029732,355.3846796,357.2839742,372.9822336,380.8801968,379.9176602,331.5178328,331.4017159,369.0381111,446.9930067,340.8739612,384.6420365,338.3342871,493.5714328,-0.30301,-0.623535,-0.442664,-0.217513,-0.312967,-0.546853,-0.183361,0.224752,-0.378325,-0.568645,-0.568645,-0.568645,-0.579666,-0.519304,-0.519304,-0.519304,-0.452989,-0.393145,-0.572561,-0.137315,-0.130178,-0.444312,-0.458963,-0.593281,0.489854
2022-05-08 14:57:18.435207-07:00,14:21:50.935986-07:00,352.5250092,309.6562793,341.449971,417.6242015,363.0150598,366.0964259,400.6913824,403.4923001,339.6913328,329.2830892,307.4498613,326.1889153,387.0372848,333.4002857,369.949586,361.054276,355.8952318,356.0705857,374.1197643,381.4576975,379.6277813,332.1964189,330.0040309,368.2953919,447.4484743,341.8499234,384.0532722,336.5063169,493.3613429,-0.298935,-0.626382,-0.446161,-0.22145,-0.306687,-0.546984,-0.187819,0.215999,-0.376269,-0.570928,-0.570928,-0.570928,-0.577785,-0.521588,-0.521588,-0.521588,-0.450135,-0.40211,-0.568188,-0.140991,-0.131212,-0.446111,-0.455463,-0.595651,0.488609
2022-05-08 14:57:18.436645-07:00,14:21:51.026221-07:00,352.7997792,311.4642631,341.904906,418.5515813,361.5880406,366.0667731,400.5921172,401.9622502,341.2175183,331.1920963,306.6561148,329.3499391,389.7781964,333.8222954,370.4441384,360.8167775,356.6272827,356.6142013,374.3476139,382.498075,381.8166507,332.1078684,331.5676204,369.0556034,446.6055817,339.5975794,386.3715023,337.1100805,495.2671715,-0.294975,-0.626287,-0.445663,-0.220721,-0.303519,-0.544896,-0.18806,0.212894,-0.374185,-0.569841,-0.569841,-0.569841,-0.577543,-0.522139,-0.522139,-0.522139,-0.447909,-0.4068,-0.565239,-0.141205,-0.129053,-0.447156,-0.454924,-0.595783,0.487993
2022-05-08 14:57:18.495634-07:00,14:21:51.027895-07:00,353.7236587,308.6657177,341.5084775,417.4519208,360.9281406,365.6832561,399.3961113,400.4357367,339.3176098,327.7514636,304.1729734,325.7947507,388.8307383,334.7930834,369.7244838,362.0746828,358.3186818,354.6763106,374.4002413,380.5235924,379.8114186,331.787993,332.6454625,369.1947407,447.1999834,341.0285965,386.0268564,336.5787244,495.1268226,-0.28994,-0.625884,-0.447692,-0.226362,-0.301147,-0.544773,-0.196398,0.196109,-0.379894,-0.573985,-0.573985,-0.573985,-0.576009,-0.521929,-0.521929,-0.521929,-0.444364,-0.414849,-0.56339,-0.151574,-0.13974,-0.448409,-0.453332,-0.596124,0.48791
2022-05-08 14:57:18.555573-07:00,14:21:51.146071-07:00,351.7799899,308.8831454,339.1677424,413.2373752,361.9468606,365.9891982,395.3322004,395.1730331,337.2711749,326.9958575,303.3984022,324.0382591,390.3329944,335.9643493,369.6563988,361.7422542,358.9477326,354.4043814,373.701346,376.0643673,374.3579886,331.8925392,330.3060003,369.6685413,447.4848851,340.1732824,385.7059657,335.5046917,493.8327851,-0.304166,-0.619385,-0.4628,-0.268406,-0.304179,-0.553561,-0.234986,0.129383,-0.414282,-0.597692,-0.597692,-0.597692,-0.574757,-0.523238,-0.523238,-0.523238,-0.43455,-0.432633,-0.56117,-0.18826,-0.183336,-0.453972,-0.45,-0.597181,0.484546
2022-05-08 14:57:18.615336-07:00,14:21:51.147577-07:00,348.1187812,311.0720806,337.9518453,405.6048647,353.3445716,363.8099606,383.0957312,376.4728688,333.2753239,323.3399616,300.2747279,320.7604548,388.3024002,334.4563539,368.3568909,363.2511105,361.3059167,352.6526567,376.1029896,369.6746288,369.8834781,329.9534797,333.684594,370.5833982,446.4263702,339.9371216,386.7429155,336.6652738,494.9023567,-0.352401,-0.598299,-0.488843,-0.353045,-0.374289,-0.576758,-0.357068,-0.095398,-0.457656,-0.62799,-0.62799,-0.62799,-0.577127,-0.528714,-0.528714,-0.528714,-0.398909,-0.469572,-0.540753,-0.249922,-0.254122,-0.465949,-0.444558,-0.595968,0.479669
2022-05-08 14:57:18.645292-07:00,14:21:51.176043-07:00,344.9818576,311.9963672,335.0096068,397.6377628,345.5099563,363.462678,372.5651661,357.2050164,332.2936202,322.7327043,297.727906,321.7287873,389.5420224,331.6604441,367.4104756,358.9637341,363.872687,349.8811537,377.4864705,358.8904263,357.8391345,327.1495434,334.296028,370.101776,447.5467872,338.381295,386.5262252,335.5280715,490.5075181,-0.391657,-0.594874,-0.528964,-0.446913,-0.445125,-0.585938,-0.461299,-0.310729,-0.488488,-0.64898,-0.64898,-0.64898,-0.571131,-0.53759,-0.537486,-0.537381,-0.387195,-0.527989,-0.533053,-0.351373,-0.372271,-0.480091,-0.434765,-0.6007,0.46867
2022-05-08 14:57:18.735239-07:00,14:21:51.236057-07:00,344.2813589,312.1454851,332.0278568,389.8477171,342.728067,360.6101043,363.2075403,345.9633546,331.1934704,321.7711414,297.2427402,320.7255523,390.9201121,334.506793,368.9015243,358.9981454,363.1164089,346.0327723,377.2566725,350.869227,351.2101422,327.821838,337.0647413,369.5044416,446.0674271,335.9464705,387.659994,335.2996956,490.8066441,-0.410462,-0.606657,-0.563405,-0.509791,-0.485304,-0.604417,-0.533499,-0.448712,-0.501186,-0.663607,-0.663607,-0.663607,-0.565554,-0.542356,-0.542356,-0.542356,-0.382099,-0.55641,-0.529499,-0.407869,-0.439585,-0.487562,-0.427193,-0.603136,0.464775
