Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,IMU1,IMU2,IMU3,IMU4,IMU5,IMU6,IMU7,IMU8,IMU9,PinkyMCPY,PinkyMCPZ,PinkyPIPY,PinkyPIPZ,PinkyDIPY,PinkyDIPZ,RingMCPY,RingMCPZ,RingPIPY,RingPIPZ,RingDIPY,RingDIPZ,MiddleMCPY,MiddleMCPZ,MiddlePIPY,MiddlePIPZ,MiddleDIPY,MiddleDIPZ,IndexMCPY,IndexMCPZ,IndexPIPY,IndexPIPZ,IndexDIPY,IndexDIPZ,ThumbsCMCY,ThumbsCMCZ,ThumbsMCPY,ThumbsMCPZ,ThumbsIPY,ThumbsIPZ,HandX,HandY,HandZ,HandW
2022-05-08 14:54:27.975634-07:00,322.5763956,345.8970963,310.0098128,471.4877972,355.3205271,349.8993555,335.8543709,438.1073408,375.7577285,404.6704793,322.2357655,490.7187378,379.8765883,370.1264455,335.15386,455.0142135,338.6292001,367.4952942,328.8816784,484.2407204,374.6835813,396.0549029,354.9399023,428.8036121,396.3045407,411.8789707,406.7179642,422.3560373,351.5842077,339.0324523,370.0835134,424.2917557,318.7205465,370.0089231,-0.308776,-0.543009,-0.26564,-0.503122,-0.221079,-0.460536,-0.440678,-0.546599,-0.39337,-0.488467,-0.342095,-0.42541,-0.45119,-0.564964,-0.378316,-0.474327,-0.296227,-0.372135,-0.516408,-0.492735,-0.420432,-0.329555,-0.29958,-0.146875,-0.308776,-0.543009,-0.26564,-0.503122,-0.221079,-0.460536,-0.440678,-0.546599,-0.39337,-0.488467
2022-05-08 14:54:28.060749-07:00,322.7595909,345.4587455,306.1120711,469.6098319,355.918534,347.4561185,330.1109239,432.0768471,380.574736,400.9156412,314.6297024,485.6131004,379.548141,368.6188807,333.3874158,453.5347015,340.4953617,365.8952757,326.6208847,482.6355127,377.1708616,392.9964794,348.3574256,425.0429199,397.5572883,411.0730679,403.0933207,416.1751281,353.942684,337.9454585,362.7617879,419.7912434,322.8516592,364.7909937,-0.314999,-0.586662,-0.289653,-0.563796,-0.263722,-0.539792,-0.449952,-0.56589,-0.413814,-0.523154,-0.375166,-0.477243,-0.461636,-0.548577,-0.380151,-0.457588,-0.288662,-0.354556,-0.520236,-0.476897,-0.422663,-0.326583,-0.302883,-0.15911,-0.314999,-0.586662,-0.289653,-0.563796,-0.263722,-0.539792,-0.449952,-0.56589,-0.413814,-0.523154
2022-05-08 14:54:28.180557-07:00,324.6564651,344.1907011,305.3642297,468.9403459,356.9498021,345.8180722,330.4638126,431.4015856,381.8490812,401.8613811,313.5539168,486.3885655,378.582496,368.8960493,331.617904,452.0660746,340.698056,364.6795239,326.29093,481.901727,378.3692678,394.5340342,349.5381421,425.9571702,398.4062013,407.3975168,402.2138267,419.3986915,355.7323616,335.6071338,360.901619,419.592559,324.9578803,364.472268,-0.322293,-0.595809,-0.301188,-0.57669,-0.279645,-0.556735,-0.454544,-0.563805,-0.420554,-0.523632,-0.384291,-0.480628,-0.471315,-0.546147,-0.38996,-0.456604,-0.298419,-0.355134,-0.530928,-0.464409,-0.440885,-0.330114,-0.331688,-0.181478,-0.322293,-0.595809,-0.301188,-0.57669,-0.279645,-0.556735,-0.454544,-0.563805,-0.420554,-0.523632
2022-05-08 14:54:28.181943-07:00,326.4472174,342.3262828,303.7300142,467.5778804,354.5747009,345.3869488,328.9052481,429.6878124,379.0923112,398.6685267,311.3118433,482.8632241,378.8590198,367.1564957,334.5053802,452.251987,340.2606659,365.5633782,325.7682021,480.7185662,375.2680991,392.612514,349.7484321,423.1126055,398.229549,408.9946128,402.5685678,415.3017443,355.6950232,334.9777908,360.6857906,417.8495296,321.0103268,364.6168659,-0.326945,-0.592868,-0.307587,-0.576108,-0.287867,-0.55867,-0.455783,-0.556766,-0.42151,-0.518159,-0.385069,-0.476886,-0.474479,-0.551629,-0.396873,-0.468577,-0.309897,-0.374462,-0.535338,-0.459843,-0.453221,-0.342653,-0.355405,-0.213593,-0.326945,-0.592868,-0.307587,-0.576108,-0.287867,-0.55867,-0.455783,-0.556766,-0.42151,-0.518159
2022-05-08 14:54:28.182934-07:00,323.3036837,340.3056258,305.0718714,465.737074,354.7093592,341.8887027,329.6182489,425.2934201,379.2791128,395.719283,311.2606913,481.217608,377.646833,365.3347951,334.9279344,449.7609735,339.8975027,365.066914,328.174149,480.6774643,375.9751772,391.3779013,351.134093,422.1484588,393.7859689,409.2045397,405.7630088,415.6581429,356.1086662,331.9838796,361.3001659,415.3362023,320.5804804,356.8932205,-0.353557,-0.581844,-0.34296,-0.573289,-0.332247,-0.56454,-0.470704,-0.543787,-0.43855,-0.50929,-0.404504,-0.472596,-0.477001,-0.558631,-0.406484,-0.481863,-0.327662,-0.39525,-0.533307,-0.455324,-0.45861,-0.347771,-0.370579,-0.230108,-0.353557,-0.581844,-0.34296,-0.573289,-0.332247,-0.56454,-0.470704,-0.543787,-0.43855,-0.50929
2022-05-08 14:54:28.183786-07:00,322.4737236,339.7606364,306.2582325,465.8371157,354.0736217,343.7681087,329.7004502,424.4444107,379.1913778,393.8175756,312.7602009,479.2626047,377.2081649,368.0065958,335.4412561,450.9456108,339.985309,362.7252445,328.2772652,481.4240177,376.0571151,392.9976803,350.9897009,422.712703,395.3233804,408.5083504,403.7246518,414.8977826,352.688477,332.3969155,361.8157592,414.7640883,321.260693,356.9623953,-0.359372,-0.574118,-0.35132,-0.567752,-0.3432,-0.561276,-0.472385,-0.536341,-0.44105,-0.503138,-0.407951,-0.467923,-0.480479,-0.556787,-0.413373,-0.484287,-0.338614,-0.402819,-0.535952,-0.448452,-0.465917,-0.348851,-0.384125,-0.240448,-0.359372,-0.574118,-0.35132,-0.567752,-0.3432,-0.561276,-0.472385,-0.536341,-0.44105,-0.503138
2022-05-08 14:54:28.270866-07:00,322.7779408,341.8310681,308.8316032,467.2252158,355.6864195,342.3640296,329.7317484,424.5647582,377.970285,396.241035,312.529825,479.3499619,378.1081216,367.3164362,338.1718429,452.8210869,338.0689283,364.051894,327.6855362,480.8343518,376.1357495,391.7887081,350.8840416,422.6697413,396.5038194,407.6230833,402.0931517,415.5468172,353.6227806,330.7714633,360.7605732,415.6471608,319.8368951,357.399811,-0.354414,-0.57065,-0.345256,-0.563351,-0.336013,-0.555913,-0.463802,-0.534377,-0.431662,-0.499763,-0.397711,-0.463051,-0.476917,-0.550824,-0.408848,-0.477517,-0.333165,-0.395316,-0.533434,-0.442006,-0.465664,-0.346236,-0.387081,-0.242426,-0.354414,-0.57065,-0.345256,-0.563351,-0.336013,-0.555913,-0.463802,-0.534377,-0.431662,-0.499763
2022-05-08 14:54:28.424219-07:00,321.8230717,340.7356415,309.5562774,464.8638538,355.5093004,343.7794868,331.4941411,424.6872627,378.8465636,394.193483,312.4540978,479.2152485,379.0783662,365.8890234,335.7365334,452.8463401,338.2539407,361.7585083,326.4740141,480.4001872,376.3906328,390.909413,350.8321551,423.8087024,392.9541521,406.8618771,404.6147939,416.0953973,353.3022079,329.71672,362.2081931,414.5095972,320.3047396,357.7616644,-0.356698,-0.566243,-0.349189,-0.560291,-0.341623,-0.554247,-0.465092,-0.530848,-0.43487,-0.49842,-0.403043,-0.464153,-0.472675,-0.551667,-0.407911,-0.480752,-0.336149,-0.401589,-0.529001,-0.442401,-0.465636,-0.351275,-0.392599,-0.252852,-0.356698,-0.566243,-0.349189,-0.560291,-0.341623,-0.554247,-0.465092,-0.530848,-0.43487,-0.49842
2022-05-08 14:54:28.426940-07:00,322.8730591,336.6951766,309.3742779,464.6987953,353.6014842,340.58175,331.5494419,421.7080012,379.9560258,393.0336165,312.0419972,475.0476545,377.3520301,366.1362097,337.3082927,450.4705006,340.0600461,361.6040752,326.3366324,475.8048866,376.0783029,386.2341673,347.2903876,420.1646261,395.1682712,406.2276882,405.3012623,413.8419058,354.7153763,328.8422858,363.6601038,412.8037037,323.9458509,354.0403169,-0.377546,-0.568448,-0.377546,-0.568448,-0.377546,-0.568448,-0.479559,-0.541623,-0.46207,-0.523294,-0.443981,-0.504285,-0.471415,-0.567879,-0.419147,-0.509006,-0.361789,-0.443951,-0.51761,-0.462008,-0.464056,-0.379994,-0.402827,-0.291694,-0.377546,-0.568448,-0.377546,-0.568448,-0.377546,-0.568448,-0.479559,-0.541623,-0.46207,-0.523294
2022-05-08 14:54:28.451058-07:00,322.0958474,334.822345,308.3547536,462.3012811,353.940339,340.2638993,329.7456128,414.0100042,378.0513168,389.1417119,312.4467485,469.8020531,378.2180779,362.9314249,334.2409884,447.3589696,340.7380733,359.2847301,321.2556335,474.4806568,377.2913617,384.3205921,342.0381408,411.9828439,393.9893751,404.0228399,405.6934763,409.0422335,353.9954517,323.933454,362.1224917,408.6835042,320.8444458,350.1283037,-0.41365,-0.567997,-0.41365,-0.567997,-0.41365,-0.567997,-0.503298,-0.550567,-0.503298,-0.550567,-0.503298,-0.550567,-0.496843,-0.599315,-0.472418,-0.572769,-0.446533,-0.544454,-0.52941,-0.510459,-0.500289,-0.462292,-0.467983,-0.411181,-0.41365,-0.567997,-0.41365,-0.567997,-0.41365,-0.567997,-0.503298,-0.550567,-0.503298,-0.550567
