Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,IMU1,IMU2,IMU3,IMU4,PinkyMCPY,PinkyMCPZ,PinkyPIPZ,PinkyDIPZ,RingMCPY,RingMCPZ,RingPIPZ,RingDIPZ,MiddleMCPY,MiddleMCPZ,MiddlePIPZ,MiddleDIPZ,IndexMCPY,IndexMCPZ,IndexPIPZ,IndexDIPZ,ThumbsCMCY,ThumbsCMCZ,ThumbsMCPY,ThumbsMCPZ,ThumbsIPZ,HandX,HandY,HandZ,HandW
2022-05-23 15:00:57.806260-07:00,326.1337676,314.4118475,326.6545747,378.0472013,332.5337719,352.1264994,355.4663188,329.7117182,315.4859745,323.5249154,300.6556945,311.1436923,370.3466376,317.8445622,369.8711872,364.384641,341.373109,330.078014,356.9956016,344.997163,346.2111329,320.4110052,321.1997693,357.5434188,367.3897273,323.2598249,368.2150322,336.9151726,412.5377514,-0.29749,-0.502925,-0.447686,-0.387857,-0.440624,-0.53343,-0.486412,-0.435922,-0.485409,-0.616034,-0.612369,-0.608667,-0.47278,-0.519828,-0.340983,-0.13959,-0.407047,-0.447149,-0.530714,-0.181138,-0.092087,-0.466685,-0.434451,-0.552434,0.536912
2022-05-23 15:00:57.807903-07:00,327.8279512,315.2672101,327.6925871,381.9912944,334.0007394,351.7664535,356.9566392,329.7618879,315.192219,321.4985068,300.080687,308.9246427,370.9189159,320.7807738,368.7771538,361.0130355,342.4567119,330.4980967,354.8889379,345.6228862,346.7808403,320.4584283,321.7918534,356.9542739,368.8988941,324.5301882,366.5139396,337.1823431,413.2295656,-0.275736,-0.481961,-0.405102,-0.321158,-0.42917,-0.52255,-0.467232,-0.407654,-0.504601,-0.627343,-0.627343,-0.627343,-0.4975,-0.536175,-0.381096,-0.205701,-0.416813,-0.450673,-0.533266,-0.16656,-0.069589,-0.461134,-0.439643,-0.549799,0.540176
2022-05-23 15:00:57.808853-07:00,328.0479811,318.1058025,327.4097914,382.0987128,335.3374833,356.5012699,358.6755958,329.9712023,313.6694474,323.0923179,300.8625273,308.7840566,369.8905457,318.8609247,366.8605895,361.7453627,341.6699657,329.3010232,355.1029684,343.349659,346.3189464,322.1268041,321.2429655,355.7536178,367.891648,323.5921985,367.4118047,338.8910993,411.4961721,-0.254978,-0.469622,-0.376426,-0.274245,-0.414599,-0.511723,-0.443896,-0.370363,-0.512803,-0.633362,-0.633362,-0.633362,-0.521625,-0.550149,-0.420857,-0.274368,-0.408414,-0.479282,-0.536361,-0.223983,-0.1415,-0.459523,-0.442782,-0.551603,0.537137
2022-05-23 15:00:57.810734-07:00,330.7575693,317.1488626,329.7131769,381.6978692,336.399177,356.0146728,359.3351917,334.7767648,315.0558797,322.4098274,300.034565,308.9839213,368.7511122,319.2174223,364.2819375,357.8958659,341.5695201,328.3100513,355.8269631,340.7200175,341.7784285,319.2062251,319.8726005,356.5793371,368.6823804,324.0427244,368.4333504,337.4470815,411.0674807,-0.22418,-0.45781,-0.346706,-0.224601,-0.369618,-0.489724,-0.385802,-0.27174,-0.508176,-0.632784,-0.632784,-0.632784,-0.54031,-0.56043,-0.455341,-0.336532,-0.385194,-0.510316,-0.52915,-0.303715,-0.246267,-0.463602,-0.44059,-0.555186,0.531717
2022-05-23 15:00:57.836429-07:00,329.1313358,316.9647615,330.4514545,383.0996105,336.6797072,356.0145453,362.4613311,338.866946,313.4124695,321.8188871,301.0358588,308.0437147,368.1545199,319.3891773,364.8510045,357.6401045,339.9009023,328.0820542,357.1440368,339.9411098,341.2141538,321.2857377,322.1335616,354.0514147,369.3712457,325.3061405,368.3572453,335.0972594,412.4095149,-0.215875,-0.453157,-0.342512,-0.220847,-0.319508,-0.461262,-0.299558,-0.120896,-0.489327,-0.627597,-0.627597,-0.627597,-0.55036,-0.559257,-0.47007,-0.369662,-0.380308,-0.53838,-0.528523,-0.376361,-0.343089,-0.473742,-0.431875,-0.560329,0.524484
2022-05-23 15:00:57.837185-07:00,329.1846398,316.3796335,329.4259088,380.9974086,340.8585278,355.8584823,365.7714232,344.9976628,317.260273,323.5430419,303.7587811,308.7999662,370.08268,320.6843334,363.9779498,357.401536,340.9958274,325.8634376,356.2430902,336.5049207,336.7405441,319.031902,321.8997098,355.5351495,368.3852497,325.1612084,367.2702314,335.4469318,413.1044649,-0.26182,-0.460433,-0.376765,-0.284851,-0.275738,-0.434126,-0.184766,0.08712,-0.472816,-0.595835,-0.589806,-0.58368,-0.564105,-0.535868,-0.455025,-0.364565,-0.381406,-0.555989,-0.53151,-0.426936,-0.41089,-0.483516,-0.431419,-0.560917,0.51523
2022-05-23 15:00:57.866228-07:00,329.5448496,316.5916201,328.8869717,382.9749279,339.4534548,357.4982327,367.7231165,346.3678727,314.3211106,325.0018518,302.3853831,312.5538344,365.9233196,318.9594873,365.6261196,357.2864257,342.1294289,327.6385969,354.240097,336.0995052,335.4803582,322.4440912,320.0208155,355.0436778,366.8897635,321.8643185,368.1697631,335.2703278,413.3482801,-0.255142,-0.45258,-0.360411,-0.258854,-0.256498,-0.423821,-0.113958,0.216337,-0.455305,-0.574751,-0.563146,-0.551228,-0.558057,-0.520249,-0.442655,-0.356626,-0.385494,-0.568546,-0.536702,-0.465979,-0.462472,-0.487092,-0.429769,-0.559953,0.514289
2022-05-23 15:00:58.135774-07:00,327.9394198,317.7480596,329.7317708,383.0406031,339.1724727,356.3844821,369.5907142,349.0577366,316.4410983,321.97676,303.5724143,311.5876857,369.253207,321.0969868,366.5105473,357.7918026,339.2951062,326.8000392,355.40501,333.6729621,332.6647218,321.0019655,321.8169384,356.3582226,367.1091561,323.5421073,366.3541898,334.9493229,412.8664213,-0.244816,-0.455342,-0.35559,-0.245316,-0.251425,-0.424183,-0.094329,0.254394,-0.422343,-0.557875,-0.533715,-0.508456,-0.547107,-0.513134,-0.437782,-0.354843,-0.391347,-0.572349,-0.543184,-0.486953,-0.490774,-0.486635,-0.426563,-0.562056,0.515096
2022-05-23 15:00:58.137610-07:00,330.6634315,317.3957802,328.6282584,381.8975657,340.088032,356.7168292,368.7761751,347.6565792,316.802392,324.0879899,307.315615,316.1700346,368.478831,318.6734019,366.4621295,357.806313,341.6717042,325.6043721,354.4114117,332.2235143,331.691294,319.930093,323.1222051,356.5431857,369.40513,324.1453277,369.9594287,336.6554769,412.6445654,-0.257148,-0.455226,-0.359449,-0.253497,-0.263356,-0.423745,-0.110214,0.223707,-0.357966,-0.497418,-0.421677,-0.339501,-0.525871,-0.488039,-0.398486,-0.300121,-0.402923,-0.579443,-0.553907,-0.510429,-0.52042,-0.487314,-0.425463,-0.561855,0.515583
2022-05-23 15:00:58.138676-07:00,328.9656565,317.5210317,328.0027599,380.4539739,339.6294688,356.5591206,366.7374386,345.0886588,319.6700218,329.2782202,310.9833362,320.2824836,369.3153695,321.1585653,369.0216304,360.1757163,340.618312,325.5411566,355.9823176,333.6496815,333.4337471,321.1664988,322.0634402,355.8953263,368.1311478,323.4507622,367.4965883,335.4094866,412.533882,-0.287371,-0.463718,-0.383909,-0.295749,-0.282828,-0.42784,-0.145839,0.158826,-0.306072,-0.451315,-0.308771,-0.152307,-0.510016,-0.468821,-0.368215,-0.25804,-0.408884,-0.576398,-0.560475,-0.516699,-0.529294,-0.485732,-0.426436,-0.561615,0.516533
