P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
3524,1727,962,1502,782,1489,1432,892,905,2465,3752,1485,1309,2509,1437,1937,2623,1107,1125,958,940,1511,1665
3533,1705,1010,1538,795,1480,1480,892,936,2460,3757,1437,1344,2500,1384,1973,2588,1133,1116,975,905,1546,1647
3572,1687,984,1529,843,1489,1520,874,962,2456,3744,1388,1327,2518,1401,1990,2592,1151,1155,940,936,1533,1731
3541,1709,1006,1507,830,1467,1476,905,984,2474,3766,1432,1327,2491,1379,1968,2627,1151,1111,949,883,1560,1709
3555,1683,993,1529,830,1476,1445,874,949,2469,3730,1423,1300,2500,1415,1955,2601,1120,1142,966,887,1538,1652
3555,1678,958,1524,773,1489,1450,892,870,2474,3687,1423,1322,2518,1419,1907,2627,1160,1120,918,914,1524,1669
3515,1661,966,1564,786,1538,1432,865,900,2425,3761,1445,1318,2504,1423,1995,2597,1177,1133,949,936,1546,1683
3550,1687,979,1520,808,1485,1467,865,958,2447,3735,1450,1300,2438,1415,1933,2597,1168,1107,944,887,1586,1661
3515,1718,975,1498,830,1472,1480,883,949,2434,3708,1437,1313,2478,1419,1929,2513,1125,1129,966,922,1494,1678
3537,1683,975,1524,817,1454,1480,874,927,2456,3717,1467,1291,2491,1423,1920,2570,1142,1125,966,900,1520,1665
3546,1647,966,1533,764,1489,1467,843,931,2478,3695,1428,1309,2487,1401,1920,2592,1138,1111,922,914,1516,1705
3555,1678,979,1529,826,1502,1441,852,927,2469,3695,1463,1327,2526,1379,1964,2610,1120,1138,944,900,1511,1674
3520,1625,940,1498,791,1480,1463,852,909,2452,3704,1432,1261,2482,1428,1964,2605,1142,1120,984,918,1546,1669
3546,1669,1006,1507,848,1476,1463,905,918,2447,3739,1432,1322,2469,1441,1924,2627,1116,1155,936,918,1524,1696
3498,1700,953,1538,769,1458,1432,883,927,2443,3735,1441,1287,2430,1410,1929,2601,1133,1151,922,896,1533,1674
3520,1691,966,1533,799,1516,1524,887,927,2434,3722,1432,1296,2491,1406,1942,2627,1146,1138,931,900,1555,1718
3550,1678,962,1529,821,1507,1428,852,900,2443,3713,1458,1340,2465,1397,1951,2575,1155,1133,931,905,1524,1705
3506,1647,1001,1533,791,1445,1401,874,918,2438,3678,1423,1305,2474,1406,1933,2610,1129,1120,940,918,1551,1683
3528,1669,979,1546,821,1485,1441,834,909,2460,3761,1458,1331,2504,1419,1929,2566,1160,1103,900,918,1538,1661
3555,1678,1006,1520,821,1450,1393,861,918,2438,3708,1463,1274,2522,1401,1920,2610,1151,1151,962,883,1546,1683
3563,1674,988,1568,782,1485,1384,856,953,2447,3752,1458,1322,2491,1401,1955,2610,1133,1111,971,892,1582,1656
3498,1683,988,1507,826,1472,1375,900,936,2438,3717,1450,1300,2478,1432,1959,2605,1120,1146,979,887,1533,1669
3489,1674,979,1485,791,1467,1511,852,953,2416,3726,1437,1296,2509,1419,1911,2579,1138,1081,944,909,1542,1678
3520,1687,1001,1533,773,1467,1397,861,927,2425,3739,1467,1335,2482,1393,1902,2597,1129,1116,931,896,1494,1674
3515,1691,979,1529,804,1467,1393,900,944,2456,3739,1423,1270,2482,1379,1911,2583,1173,1094,940,900,1529,1669
3533,1665,979,1529,773,1458,1362,870,940,2395,3713,1437,1318,2487,1415,1933,2562,1146,1125,900,883,1542,1669
3511,1674,975,1529,808,1450,1375,883,940,2438,3744,1419,1256,2509,1379,1902,2570,1133,1107,949,878,1560,1656
3537,1665,1001,1524,830,1480,1401,865,944,2465,3704,1415,1318,2491,1423,1911,2570,1138,1107,936,892,1516,1696
3541,1643,1006,1546,830,1454,1472,883,914,2447,3700,1463,1261,2474,1379,1929,2579,1120,1155,962,918,1516,1683
3520,1678,1006,1542,786,1458,1410,856,918,2425,3708,1445,1291,2474,1428,1933,2557,1133,1138,940,887,1520,1700
3515,1687,984,1524,826,1463,1375,870,953,2465,3739,1476,1327,2460,1401,1951,2588,1129,1129,918,896,1542,1696
3506,1665,993,1538,852,1502,1401,861,953,2491,3735,1419,1296,2474,1397,1977,2570,1138,1107,936,896,1529,1669
3568,1674,953,1538,830,1463,1388,861,927,2452,3757,1441,1313,2487,1401,1951,2566,1129,1094,975,927,1502,1696
3524,1700,984,1538,795,1480,1366,861,971,2460,3713,1437,1340,2447,1401,1902,2544,1116,1146,918,914,1520,1722
3506,1621,984,1520,777,1485,1388,887,966,2496,3722,1415,1366,2474,1384,1933,2553,1116,1120,975,909,1551,1696
3533,1687,1019,1502,791,1454,1520,914,931,2438,3739,1428,1278,2465,1423,1924,2588,1138,1142,944,887,1529,1696
3563,1674,975,1511,799,1516,1437,843,927,2438,3713,1410,1313,2469,1410,1924,2597,1138,1146,931,940,1551,1683
3537,1687,966,1529,826,1419,1375,905,905,2421,3713,1419,1261,2500,1419,1968,2570,1125,1138,979,892,1520,1709
3559,1705,997,1542,782,1437,1357,848,962,2399,3726,1432,1248,2513,1428,1902,2544,1116,1103,966,914,1546,1669
3533,1656,958,1529,782,1476,1384,914,936,2403,3700,1458,1327,2438,1393,1916,2544,1111,1098,944,905,1529,1665
3537,1696,1001,1511,795,1445,1379,914,944,2408,3779,1428,1291,2434,1441,1916,2623,1107,1138,940,887,1494,1683
3568,1674,993,1516,817,1480,1371,874,953,2430,3722,1458,1287,2434,1410,1937,2548,1133,1129,962,940,1538,1669
3533,1652,1015,1520,808,1489,1331,878,896,2469,3757,1467,1296,2452,1423,1946,2540,1182,1116,958,887,1542,1665
