,Pinky MCP:X,Pinky MCP:Y,Pinky MCP:Z,Pinky MCP:W,Pinky PIP:X,Pinky PIP:Y,Pinky PIP:Z,Pinky PIP:W,Pinky DIP:X,Pinky DIP:Y,Pinky DIP:Z,Pinky DIP:W,Ring MCP:X,Ring MCP:Y,Ring MCP:Z,Ring MCP:W,Ring PIP:X,Ring PIP:Y,Ring PIP:Z,Ring PIP:W,Ring DIP:X,Ring DIP:Y,Ring DIP:Z,Ring DIP:W,Middle MCP:X,Middle MCP:Y,Middle MCP:Z,Middle MCP:W,Middle PIP:X,Middle PIP:Y,Middle PIP:Z,Middle PIP:W,Middle DIP:X,Middle DIP:Y,Middle DIP:Z,Middle DIP:W,Index MCP:X,Index MCP:Y,Index MCP:Z,Index MCP:W,Index PIP:X,Index PIP:Y,Index PIP:Z,Index PIP:W,Index DIP:X,Index DIP:Y,Index DIP:Z,Index DIP:W,Thumbs CMC:X,Thumbs CMC:Y,Thumbs CMC:Z,Thumbs CMC:W,Thumbs MCP:X,Thumbs MCP:Y,Thumbs MCP:Z,Thumbs MCP:W,Thumbs IP:X,Thumbs IP:Y,Thumbs IP:Z,Thumbs IP:W,Hand:X,Hand:Y,Hand:Z,Hand:W
35,-0.587296,-0.416559,-0.578381,0.383454,-0.587296,-0.416559,-0.578381,0.383454,-0.587296,-0.416559,-0.578381,0.383454,-0.529578,-0.4941,-0.495095,0.47989,-0.529578,-0.4941,-0.495095,0.47989,-0.529578,-0.4941,-0.495095,0.47989,-0.523888,-0.470311,-0.500442,0.503892,-0.529917,-0.463507,-0.493894,0.510312,-0.535859,-0.456625,-0.487263,0.516647,-0.464314,-0.540716,-0.392454,0.581394,-0.515599,-0.492055,-0.332924,0.617415,-0.561811,-0.438554,-0.270119,0.64736,0.029293,-0.456194,-0.54842,0.700189,-0.053959,-0.607808,-0.52054,0.59724,-0.050731,-0.608086,-0.523705,0.594467,-0.501116,-0.481981,-0.52439,0.49152
36,-0.587464,-0.416386,-0.578303,0.383503,-0.587464,-0.416386,-0.578303,0.383503,-0.587464,-0.416386,-0.578303,0.383503,-0.529562,-0.494202,-0.495249,0.479643,-0.529562,-0.494202,-0.495249,0.479643,-0.529562,-0.494202,-0.495249,0.479643,-0.523834,-0.470594,-0.500647,0.50348,-0.529758,-0.463915,-0.494225,0.509786,-0.535596,-0.457162,-0.487722,0.516011,-0.464352,-0.540927,-0.392588,0.581077,-0.515608,-0.492313,-0.33315,0.617079,-0.561802,-0.438866,-0.270442,0.647022,0.029212,-0.456303,-0.548399,0.700137,-0.054111,-0.607897,-0.520428,0.597234,-0.050907,-0.608174,-0.523567,0.594484,-0.501181,-0.48206,-0.524449,0.491313
37,-0.587629,-0.416026,-0.578253,0.383716,-0.587629,-0.416026,-0.578253,0.383716,-0.587629,-0.416026,-0.578253,0.383716,-0.529524,-0.494106,-0.495441,0.479585,-0.529524,-0.494106,-0.495441,0.479585,-0.529524,-0.494106,-0.495441,0.479585,-0.523794,-0.470552,-0.500837,0.503372,-0.529685,-0.463911,-0.494451,0.509646,-0.535491,-0.457196,-0.487986,0.515839,-0.464314,-0.541096,-0.392801,0.580805,-0.515546,-0.49253,-0.333441,0.616801,-0.561724,-0.439135,-0.270814,0.646751,0.029255,-0.456304,-0.548524,0.700037,-0.05414,-0.607879,-0.520518,0.597171,-0.050946,-0.608155,-0.523647,0.594429,-0.50115,-0.481967,-0.524625,0.491248
38,-0.58792,-0.415334,-0.578093,0.384261,-0.58792,-0.415334,-0.578093,0.384261,-0.58792,-0.415334,-0.578093,0.384261,-0.529385,-0.493813,-0.495767,0.479703,-0.529385,-0.493813,-0.495767,0.479703,-0.529385,-0.493813,-0.495767,0.479703,-0.52367,-0.470304,-0.501132,0.503439,-0.529533,-0.463694,-0.494773,0.50969,-0.535312,-0.45701,-0.488336,0.51586,-0.464127,-0.540926,-0.393201,0.580843,-0.515321,-0.492401,-0.333864,0.616863,-0.561467,-0.439055,-0.271258,0.646842,0.029337,-0.456239,-0.54875,0.699899,-0.054157,-0.607793,-0.520712,0.597088,-0.050975,-0.608069,-0.52383,0.594354,-0.501086,-0.481746,-0.524862,0.491277
39,-0.587941,-0.415342,-0.577919,0.384482,-0.587941,-0.415342,-0.577919,0.384482,-0.587941,-0.415342,-0.577919,0.384482,-0.529217,-0.494023,-0.495771,0.479668,-0.529217,-0.494023,-0.495771,0.479668,-0.529217,-0.494023,-0.495771,0.479668,-0.523502,-0.470466,-0.501137,0.503458,-0.529368,-0.463856,-0.494775,0.509711,-0.535151,-0.457172,-0.488336,0.515883,-0.463943,-0.541115,-0.39322,0.580801,-0.515176,-0.492587,-0.333862,0.616837,-0.561359,-0.439231,-0.271232,0.646827,0.029498,-0.45643,-0.548603,0.699883,-0.054004,-0.60797,-0.520561,0.597054,-0.050824,-0.608244,-0.523675,0.594324,-0.500932,-0.482,-0.524841,0.491208
40,-0.588062,-0.415096,-0.577906,0.384582,-0.588062,-0.415096,-0.577906,0.384582,-0.588062,-0.415096,-0.577906,0.384582,-0.529244,-0.493888,-0.495882,0.479663,-0.529244,-0.493888,-0.495882,0.479663,-0.529244,-0.493888,-0.495882,0.479663,-0.523523,-0.470371,-0.501253,0.503409,-0.529389,-0.46376,-0.494891,0.509664,-0.535171,-0.457075,-0.488451,0.515839,-0.463927,-0.541135,-0.393407,0.580668,-0.515161,-0.49261,-0.334063,0.616723,-0.561346,-0.439256,-0.271444,0.646733,0.029521,-0.456455,-0.548716,0.699777,-0.054039,-0.607975,-0.520645,0.596972,-0.050863,-0.608249,-0.523755,0.594244,-0.500931,-0.481951,-0.524979,0.491109
41,-0.588321,-0.41468,-0.577929,0.3846,-0.588321,-0.41468,-0.577929,0.3846,-0.588321,-0.41468,-0.577929,0.3846,-0.529448,-0.493551,-0.496016,0.479646,-0.529448,-0.493551,-0.496016,0.479646,-0.529448,-0.493551,-0.496016,0.479646,-0.523654,-0.470064,-0.50146,0.503353,-0.529516,-0.463451,-0.495099,0.509611,-0.535295,-0.456764,-0.48866,0.515788,-0.464047,-0.540911,-0.393679,0.580597,-0.515283,-0.492349,-0.334309,0.616695,-0.561464,-0.438956,-0.271659,0.646743,0.029484,-0.456293,-0.549027,0.699641,-0.054169,-0.607799,-0.520923,0.596897,-0.050993,-0.608074,-0.524034,0.594167,-0.501036,-0.481681,-0.525221,0.491008
42,-0.587855,-0.414817,-0.578185,0.384781,-0.587855,-0.414817,-0.578185,0.384781,-0.587855,-0.414817,-0.578185,0.384781,-0.529023,-0.493606,-0.496177,0.479892,-0.529023,-0.493606,-0.496177,0.479892,-0.529023,-0.493606,-0.496177,0.479892,-0.5232,-0.470232,-0.501641,0.503488,-0.529095,-0.463589,-0.495244,0.509781,-0.534906,-0.456872,-0.488768,0.515994,-0.463511,-0.541094,-0.393941,0.580677,-0.51483,-0.492519,-0.334484,0.616843,-0.561085,-0.4391,-0.271737,0.646942,0.030003,-0.456605,-0.5489,0.699515,-0.053703,-0.608072,-0.520829,0.596742,-0.050541,-0.608344,-0.523925,0.594025,-0.500508,-0.48194,-0.525467,0.491029
43,-0.587928,-0.414196,-0.578594,0.384723,-0.587928,-0.414196,-0.578594,0.384723,-0.587928,-0.414196,-0.578594,0.384723,-0.529037,-0.493031,-0.496742,0.479883,-0.529037,-0.493031,-0.496742,0.479883,-0.529037,-0.493031,-0.496742,0.479883,-0.523195,-0.469868,-0.502211,0.503265,-0.529106,-0.463201,-0.495793,0.509588,-0.534933,-0.456459,-0.489296,0.51583,-0.463539,-0.540878,-0.394574,0.580426,-0.514905,-0.49223,-0.335052,0.616703,-0.561193,-0.438726,-0.272225,0.646897,0.03012,-0.456629,-0.549302,0.699178,-0.053815,-0.608035,-0.521117,0.596519,-0.050699,-0.608302,-0.524166,0.593841,-0.500385,-0.481596,-0.526158,0.490753
44,-0.587907,-0.414486,-0.578972,0.383872,-0.587907,-0.414486,-0.578972,0.383872,-0.587907,-0.414486,-0.578972,0.383872,-0.528945,-0.493,-0.497266,0.479474,-0.528945,-0.493,-0.497266,0.479474,-0.528945,-0.493,-0.497266,0.479474,-0.523103,-0.469937,-0.502724,0.502783,-0.529028,-0.463257,-0.4963,0.509126,-0.534867,-0.456503,-0.489795,0.515386,-0.463557,-0.541124,-0.395063,0.579849,-0.515028,-0.492389,-0.335496,0.616232,-0.561401,-0.438781,-0.27261,0.646517,0.030318,-0.456887,-0.549325,0.698983,-0.053783,-0.608238,-0.521024,0.596395,-0.050702,-0.608503,-0.524038,0.593749,-0.500141,-0.481681,-0.526804,0.490225
