P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
29460,6420,2162,1656,834,1322,694,1305,1441,870,870,1911,3243,29518,29421,29434,29443,29434,1331,1173,1753,1393,2126,3084,1248,1226,1015,971,1485,1586,29452,29452
29526,6402,2188,1634,892,1309,725,1344,1428,848,812,1924,3208,29487,29447,29469,29443,29474,1344,1146,1784,1406,2126,3036,1239,1226,979,979,1441,1604,29438,29438
29500,6398,2179,1625,874,1309,689,1318,1441,843,878,1924,3234,29487,29465,29447,29416,29443,1335,1190,1766,1397,2162,3102,1252,1230,984,984,1472,1568,29522,29443
29465,6385,2201,1621,830,1331,738,1322,1437,918,874,1937,3243,29487,29438,29421,29430,29430,1322,1182,1784,1401,2131,3032,1243,1208,993,949,1410,1568,29425,29456
29434,6363,2100,1634,848,1305,747,1327,1476,883,883,1977,3260,29474,29482,29416,29443,29430,1335,1204,1779,1388,2157,3076,1208,1243,1015,940,1463,1560,29438,29500
29474,6394,2197,1639,878,1291,725,1322,1450,843,878,1907,3212,29421,29412,29386,29412,29395,1340,1195,1784,1388,2153,3080,1208,1190,1006,975,1437,1599,29412,29430
29460,6407,2162,1647,900,1322,711,1322,1419,887,856,1946,3229,29434,29438,29373,29474,29430,1340,1190,1779,1401,2153,3027,1270,1199,988,984,1476,1582,29487,29456
29460,6389,2184,1634,865,1296,729,1287,1410,861,848,1920,3243,29500,29377,29395,29416,29408,1335,1190,1749,1393,2170,3045,1226,1177,979,953,1463,1608,29430,29460
29487,6372,2179,1643,861,1331,716,1353,1458,892,830,1911,3269,29456,29408,29399,29456,29430,1344,1182,1814,1397,2153,3080,1243,1234,971,971,1441,1595,29509,29469
29478,6407,2148,1652,883,1305,716,1327,1415,856,856,1929,3243,29421,29408,29434,29416,29381,1318,1182,1762,1397,2148,3054,1270,1226,984,971,1428,1568,29487,29460
29452,6376,2206,1647,883,1270,733,1287,1454,931,914,1977,3251,29443,29452,29416,29443,29447,1349,1160,1775,1441,2153,3014,1248,1186,971,966,1494,1546,29491,29460
29460,6420,2170,1634,883,1327,694,1313,1406,896,856,1911,3256,29443,29491,29526,29540,29438,1335,1164,1757,1371,2153,3027,1226,1217,971,975,1437,1555,29346,29452
29408,6402,2157,1652,817,1357,716,1313,1441,848,874,1951,3243,29504,29482,29487,29504,29504,1344,1204,1814,1401,2140,3084,1234,1252,1001,962,1454,1573,29241,29408
29430,6363,2170,1691,896,1318,716,1327,1441,870,817,1964,3229,29482,29434,29504,29513,29438,1375,1151,1770,1415,2162,3102,1252,1195,975,993,1437,1568,29346,29408
29333,6372,2153,1700,830,1296,751,1327,1415,914,852,1959,3234,29460,29522,29504,29504,29487,1327,1173,1788,1393,2118,3076,1239,1230,975,962,1480,1546,29267,29342
29452,6389,2175,1647,856,1335,716,1283,1419,896,887,1933,3225,29430,29456,29430,29377,29430,1371,1164,1753,1397,2175,3093,1248,1217,988,966,1401,1586,29500,29478
29456,6376,2162,1678,878,1327,729,1309,1397,883,852,1968,3238,29504,29438,29373,29421,29443,1340,1199,1775,1371,2153,3054,1204,1217,1023,953,1476,1555,29460,29465
29482,6385,2179,1683,874,1313,742,1366,1441,900,887,1920,3229,29469,29430,29469,29434,29425,1327,1173,1797,1397,2157,3071,1248,1208,997,966,1428,1577,29509,29500
29447,6380,2144,1643,887,1327,694,1300,1437,883,878,1986,3273,29447,29452,29403,29395,29430,1357,1177,1779,1428,2170,3032,1252,1243,984,971,1397,1608,29403,29447
29438,6411,2179,1656,892,1335,703,1331,1423,874,856,1946,3238,29421,29474,29399,29416,29416,1327,1186,1766,1423,2118,2983,1265,1199,988,993,1428,1577,29465,29513
